model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28384125481293165,0.25,0.4229985119047619,0.20575835041523788,0.1824273569764179,0.32845199904916805,0.18117225974282763,0.12669479020189917,0.1539335249723634
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_4,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17383042915696323,0.13777777777777772,0.3872371030952267,0.11931549175550615,0.09697073196346997,0.3228458601817519,0.3152357334193802,0.2562574240894375,0.2857465787544089
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_2,0.65,34.39375,15.516071401364487,64.525,0.0,0.0,0.0,0.0,0.0,0.0,0.501482657127603,0.65,0.42523100969371125,0.21342724933066548,0.24825799217119263,0.21718161978708914,0.11292841709077135,0.11929485879664035,0.11611163794370585
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_4,0.06000000000000001,50.2,0.0,117.88,0.0016910171657130001,0.005,0.0009756097560975599,0.00507305149713904,0.015,0.00292682926829268,0.12335324035596817,0.13777777777777772,0.13217897190528763,0.15133937605885328,0.17670327650441195,0.1641113722466782,0.18455607003128324,0.07937885952173088,0.13196746477650706
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,level_2,0.65,36.44464285714285,12.393790730672762,66.325,0.0,0.0,0.0,0.0,0.0,0.0,0.3650647318567124,0.59,0.2729421465673316,0.2237745401121919,0.32564790922619774,0.18413626232459207,0.2600593560312288,0.1840854748692174,0.2220724154502231
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,level_4,0.06444444444444444,28.3,0.5,116.95777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.15452206625917825,0.17728395061728391,0.16349335637997184,0.16585574429396682,0.20218929873222194,0.18798101566299807,0.21493949520120353,0.13464365770838868,0.17479157645479607
Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,level_2,0.4861111111111111,46.61666666666667,17.794086210194,83.83888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.42190902620297654,0.635,0.3464744563929346,0.1533451534618922,0.278383933639447,0.16144798407235345,0.14178875856164008,0.15026526435844934,0.1460270114600447
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,level_2,0.575,44.47767857142857,15.435228925936737,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328655458225324,0.5599999999999999,0.25231337665215775,0.2136928293672043,0.31094263951073103,0.18434345074692082,0.21740273250112097,0.11072931052452903,0.164066021512825
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,level_4,0.04,39.4,0.0,119.17999999999999,0.01617573989388398,0.020555555555555542,0.01404938271604934,0.03893145224270002,0.05071348402636772,0.03372026011094664,0.12381880332290537,0.18666666666666665,0.1131804824590156,0.09242088125850915,0.15784783991161586,0.09598744023702692,0.18989515474736093,0.08905947876510542,0.13947731675623318
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,level_2,0.12777777777777777,69.25,5.715476066494082,115.73055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.2477008783928416,0.20944444444444443,0.44053791887125215,0.18238099737897814,0.15466100646968917,0.38374425104023446,0.060020105302394905,0.0735830304724629,0.0668015678874289
