model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-8B_Qwen_Qwen3-14B,sliced_bell_pepper_and_corn_stew,4,0.2,46.5,0.5,105.5,0.06818064487193995,0.1125,0.05289742463655507,0.06424733362488996,0.10383279828647594,0.05356320123056132,0.16010984824805102,0.18888888888888888,0.16919191919191917,0.15956742896428996,0.1990719207463213,0.1767279897728314,0.027777777777777776,0.06944444444444445,0.04861111111111111
Qwen_Qwen3-8B_Qwen_Qwen3-14B,sliced_bell_pepper_and_lentil_stew,4,0.3,77.33333333333333,12.657891697365017,107.5,0.016300738995394665,0.025,0.011764705882352941,0.048902216986183994,0.07500000000000001,0.03529411764705882,0.19580397233469574,0.2333333333333333,0.17875,0.1661571619881448,0.20757268546966007,0.15207420063903015,0.01948051948051948,0.06493506493506493,0.04220779220779221
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_potato_slices,2,0.6,51.833333333333336,14.438567180375697,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.359437727722852,0.48,0.28398268398268395,0.29683842097911256,0.3919183588453085,0.23904467658180062,0.0967741935483871,0.1774193548387097,0.13709677419354838
Qwen_Qwen3-8B_Qwen_Qwen3-14B,sliced_pumpkin_and_chickpea_stew,4,0.4444444444444444,102.75,7.980444849756184,112.77777777777777,0.03169187008146511,0.05555555555555555,0.021604938271604937,0.05967344331269241,0.10393492741038726,0.04094598506611605,0.080433581630505,0.09876543209876543,0.0905349794238683,0.12078740983061725,0.16096796062228763,0.13759879421646493,0.03614457831325301,0.10843373493975904,0.07228915662650602
Qwen_Qwen3-8B_Qwen_Qwen3-14B,sliced_eggplant_and_chickpea_stew,4,0.4,86.0,20.137030565602267,106.8,0.03930581403566633,0.05,0.0325,0.07953124441093609,0.10000000000000002,0.06712860791048776,0.13231384447840336,0.16666666666666669,0.12791666666666665,0.16217519230147243,0.21227747971714223,0.15406584541105214,0.07407407407407407,0.12345679012345678,0.09876543209876543
Qwen_Qwen3-8B_Qwen_Qwen3-14B,baked_pumpkin_slices,2,0.2,54.0,17.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3341589968959899,0.36,0.3195238095238095,0.34649832379044265,0.3666060555964672,0.34887867021446334,0.024,0.072,0.048
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_green_bean_slices,2,0.2,23.0,2.0,100.8,0.0,0.0,0.0,0.0,0.0,0.0,0.36544549846947255,0.42000000000000004,0.3361111111111111,0.2699829751909804,0.3280243893371345,0.24753795222731995,0.03260869565217391,0.18478260869565216,0.10869565217391304
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_corn_slices,2,0.4,53.0,14.230249470757707,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25987739664172227,0.33999999999999997,0.20992063492063492,0.29797038050606817,0.3903844259188627,0.24296896740778406,0.027777777777777776,0.11805555555555555,0.07291666666666666
Qwen_Qwen3-8B_Qwen_Qwen3-14B,sliced_zucchini_and_chickpea_stew,4,0.4,82.0,27.0,105.2,0.0,0.0,0.0,0.0,0.0,0.0,0.04215097953678963,0.05555555555555556,0.033721180780004315,0.08292138725473754,0.10243938285880985,0.06900075278317408,0.0,0.014084507042253521,0.007042253521126761
Qwen_Qwen3-8B_Qwen_Qwen3-32B,boiled_potato_slices,2,0.7,40.42857142857143,9.839528775841465,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37917452930798856,0.54,0.2858585858585859,0.2549286280042728,0.35832945734337834,0.1941943820363718,0.08333333333333333,0.11666666666666667,0.1
