agent_lo,agent_hi,diff01,sim01,runs
Qwen3-1.7B,Qwen3-1.7B,1.0,0.0,50
Qwen3-1.7B,Qwen3-14B,0.5,0.5,100
Qwen3-1.7B,Qwen3-32B,0.3333333333333333,0.6666666666666667,98
Qwen3-1.7B,Qwen3-8B,0.5,0.5,99
Qwen3-14B,Qwen3-14B,0.3333333333333333,0.6666666666666667,49
Qwen3-14B,Qwen3-32B,0.42857142857142855,0.5714285714285714,99
Qwen3-32B,Qwen3-32B,0.42857142857142855,0.5714285714285714,49
Qwen3-8B,Qwen3-14B,0.4,0.6,97
Qwen3-8B,Qwen3-32B,0.3333333333333333,0.6666666666666667,98
Qwen3-8B,Qwen3-8B,0.29166666666666663,0.7083333333333334,26
