agent_p0,agent_p1,spd,diff01,sim01,runs
Qwen3-1.7B,Qwen3-1.7B,-2.0,1.0,0.0,40
Qwen3-1.7B,Qwen3-14B,-1.5,0.75,0.25,40
Qwen3-1.7B,Qwen3-32B,-1.5,0.75,0.25,40
Qwen3-1.7B,Qwen3-4B,-1.5,0.75,0.25,40
Qwen3-1.7B,Qwen3-8B,-1.5,0.75,0.25,40
Qwen3-14B,Qwen3-1.7B,-2.0,1.0,0.0,40
Qwen3-14B,Qwen3-14B,2.0,1.0,0.0,40
Qwen3-14B,Qwen3-32B,0.5833333333333333,0.75,0.25,40
Qwen3-14B,Qwen3-4B,-1.4642857142857144,0.75,0.25,40
Qwen3-14B,Qwen3-8B,2.0,1.0,0.0,40
Qwen3-32B,Qwen3-1.7B,-2.0,1.0,0.0,40
Qwen3-32B,Qwen3-14B,0.5,1.0,0.0,40
Qwen3-32B,Qwen3-32B,1.5,0.75,0.25,40
Qwen3-32B,Qwen3-4B,-1.0,0.75,0.25,40
Qwen3-32B,Qwen3-8B,1.5,1.0,0.0,40
Qwen3-4B,Qwen3-1.7B,-2.0,1.0,0.0,40
Qwen3-4B,Qwen3-14B,2.0,1.0,0.0,40
Qwen3-4B,Qwen3-32B,2.0,1.0,0.0,40
Qwen3-4B,Qwen3-4B,-1.5,1.0,0.0,40
Qwen3-4B,Qwen3-8B,0.0,0.75,0.25,40
Qwen3-8B,Qwen3-1.7B,-1.3333333333333333,1.0,0.0,40
Qwen3-8B,Qwen3-14B,0.0,1.0,0.0,40
Qwen3-8B,Qwen3-32B,-0.5833333333333333,0.75,0.25,40
Qwen3-8B,Qwen3-4B,-1.5,0.75,0.25,40
Qwen3-8B,Qwen3-8B,-1.0,1.0,0.0,40
