agent_p0,agent_p1,pct_vs_p1,runs
Qwen3-1.7B,Qwen3-1.7B,-1.0,40
Qwen3-1.7B,Qwen3-14B,-0.8571428571428571,40
Qwen3-1.7B,Qwen3-32B,-0.8571428571428571,40
Qwen3-1.7B,Qwen3-4B,-0.8571428571428571,40
Qwen3-1.7B,Qwen3-8B,-0.8571428571428571,40
Qwen3-14B,Qwen3-1.7B,-1.0,40
Qwen3-14B,Qwen3-14B,inf,40
Qwen3-14B,Qwen3-32B,0.8333333333333333,40
Qwen3-14B,Qwen3-4B,-0.8452380952380952,40
Qwen3-14B,Qwen3-8B,inf,40
Qwen3-32B,Qwen3-1.7B,-1.0,40
Qwen3-32B,Qwen3-14B,0.6666666666666666,40
Qwen3-32B,Qwen3-32B,6.0,40
Qwen3-32B,Qwen3-4B,-0.6666666666666666,40
Qwen3-32B,Qwen3-8B,6.0,40
Qwen3-4B,Qwen3-1.7B,-1.0,40
Qwen3-4B,Qwen3-14B,inf,40
Qwen3-4B,Qwen3-32B,inf,40
Qwen3-4B,Qwen3-4B,-0.8571428571428571,40
Qwen3-4B,Qwen3-8B,0.0,40
Qwen3-8B,Qwen3-1.7B,-0.75,40
Qwen3-8B,Qwen3-14B,0.0,40
Qwen3-8B,Qwen3-32B,-0.45,40
Qwen3-8B,Qwen3-4B,-0.8571428571428571,40
Qwen3-8B,Qwen3-8B,-0.6666666666666666,40
