agent_p0,agent_p1,a_sum,b_sum,relative_diff_to_p1,runs
Qwen3-1.7B,Qwen3-1.7B,4,50,-0.92,40
Qwen3-1.7B,Qwen3-14B,36,207,-0.8260869565217391,40
Qwen3-1.7B,Qwen3-32B,36,196,-0.8163265306122449,40
Qwen3-1.7B,Qwen3-4B,22,189,-0.8835978835978836,40
Qwen3-1.7B,Qwen3-8B,34,181,-0.8121546961325967,40
Qwen3-14B,Qwen3-1.7B,53,44,0.20454545454545456,40
Qwen3-14B,Qwen3-14B,73,79,-0.0759493670886076,40
Qwen3-14B,Qwen3-32B,148,103,0.4368932038834951,40
Qwen3-14B,Qwen3-4B,65,124,-0.47580645161290325,40
Qwen3-14B,Qwen3-8B,66,66,0.0,40
Qwen3-32B,Qwen3-1.7B,31,46,-0.32608695652173914,40
Qwen3-32B,Qwen3-14B,47,115,-0.591304347826087,40
Qwen3-32B,Qwen3-32B,142,110,0.2909090909090909,40
Qwen3-32B,Qwen3-4B,62,120,-0.48333333333333334,40
Qwen3-32B,Qwen3-8B,77,91,-0.15384615384615385,40
Qwen3-4B,Qwen3-1.7B,63,55,0.14545454545454545,40
Qwen3-4B,Qwen3-14B,83,68,0.22058823529411764,40
Qwen3-4B,Qwen3-32B,131,84,0.5595238095238095,40
Qwen3-4B,Qwen3-4B,41,122,-0.6639344262295082,40
Qwen3-4B,Qwen3-8B,57,86,-0.3372093023255814,40
Qwen3-8B,Qwen3-1.7B,81,46,0.7608695652173914,40
Qwen3-8B,Qwen3-14B,55,108,-0.49074074074074076,40
Qwen3-8B,Qwen3-32B,114,120,-0.05,40
Qwen3-8B,Qwen3-4B,30,128,-0.765625,40
Qwen3-8B,Qwen3-8B,45,109,-0.5871559633027523,40
