agent_p0,agent_p1,a_sum,b_sum,relative_diff_to_p1,runs
Qwen3-1.7B,Qwen3-1.7B,35,132,-0.7348484848484849,102
Qwen3-1.7B,Qwen3-14B,112,454,-0.7533039647577092,130
Qwen3-1.7B,Qwen3-32B,135,550,-0.7545454545454545,158
Qwen3-1.7B,Qwen3-4B,55,292,-0.8116438356164384,89
Qwen3-1.7B,Qwen3-8B,83,360,-0.7694444444444445,106
Qwen3-14B,Qwen3-1.7B,188,156,0.20512820512820512,141
Qwen3-14B,Qwen3-14B,375,319,0.1755485893416928,129
Qwen3-14B,Qwen3-32B,453,399,0.13533834586466165,137
Qwen3-14B,Qwen3-4B,135,199,-0.32160804020100503,87
Qwen3-14B,Qwen3-8B,377,320,0.178125,142
Qwen3-32B,Qwen3-1.7B,179,142,0.2605633802816901,124
Qwen3-32B,Qwen3-14B,296,337,-0.12166172106824925,145
Qwen3-32B,Qwen3-32B,418,333,0.2552552552552553,119
Qwen3-32B,Qwen3-4B,135,179,-0.24581005586592178,75
Qwen3-32B,Qwen3-8B,324,269,0.20446096654275092,102
Qwen3-4B,Qwen3-1.7B,117,132,-0.11363636363636363,89
Qwen3-4B,Qwen3-14B,163,152,0.07236842105263158,69
Qwen3-4B,Qwen3-32B,201,181,0.11049723756906077,83
Qwen3-4B,Qwen3-4B,107,199,-0.4623115577889447,90
Qwen3-4B,Qwen3-8B,164,196,-0.16326530612244897,90
Qwen3-8B,Qwen3-1.7B,158,125,0.264,106
Qwen3-8B,Qwen3-14B,305,355,-0.14084507042253522,140
Qwen3-8B,Qwen3-32B,328,368,-0.10869565217391304,118
Qwen3-8B,Qwen3-4B,110,188,-0.4148936170212766,80
Qwen3-8B,Qwen3-8B,194,282,-0.3120567375886525,96
