model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen2.5-14B-Instruct_Qwen_Qwen2.5-14B-Instruct,level_2,0.225,0.0,0.0,120.0,0.15214583463816775,0.225,0.11237373737373735,0.28294795220213476,0.41650635094610966,0.2095230888138882,0.14527883508467865,0.37999999999999995,0.08915639972528515,0.16568462617879484,0.3332050807568877,0.10640615187266525,0.1291537347403269,0.12909166149389611,0.1291226981171115
Qwen_Qwen2.5-14B-Instruct_Qwen_Qwen2.5-32B-Instruct,level_2,0.8,0.0,0.0,57.0,0.6292795832666122,0.8200000000000001,0.5143217893217893,0.24604080374358178,0.22271057451320084,0.24846375305988982,0.4656251568155598,1.0,0.31109177859177856,0.16010859149110654,0.0,0.15085824900415615,0.21274791712747915,0.33595074835950745,0.27434933274349327
Qwen_Qwen2.5-14B-Instruct_Qwen_Qwen2.5-7B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11004148595898425,0.2,0.074875408496732,0.01668992654357305,0.0,0.017298200074836248,0.2104648473635522,0.02848057354301565,0.11947271045328395
Qwen_Qwen2.5-14B-Instruct_meta-llama_Meta-Llama-3-8B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076409154463736,0.2,0.0459085193562527,0.010352921495844051,0.0,0.0082758919211058,0.15112369337979095,0.0459059233449477,0.0985148083623693
Qwen_Qwen2.5-14B-Instruct_mistralai_Mistral-7B-Instruct-v0.1,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595550708175799,0.2,0.1378643578643578,0.0307525811559241,0.0,0.04740263615424165,0.14330810243061493,0.01695379662294065,0.0801309495267778
Qwen_Qwen2.5-32B-Instruct_Qwen_Qwen2.5-14B-Instruct,level_2,0.4,0.0,0.0,91.5,0.2132834403413247,0.4,0.1452380952380952,0.2716424000162083,0.4898979485566356,0.18942859765558157,0.1510714533267717,0.52,0.0851211989413182,0.12942628128917666,0.3919183588453085,0.07433961579840795,0.21305300643747427,0.0947815367757841,0.15391727160662916
Qwen_Qwen2.5-32B-Instruct_Qwen_Qwen2.5-32B-Instruct,level_2,0.8,0.0,0.0,36.0,0.8271301247771836,0.8400000000000001,0.82,0.3457397504456328,0.32,0.36,0.5925262362460239,1.0,0.4318181818181818,0.1877708509346381,0.0,0.1656130609294243,0.2465753424657534,0.3150684931506849,0.2808219178082192
Qwen_Qwen2.5-32B-Instruct_Qwen_Qwen2.5-7B-Instruct,level_2,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17317319385401594,0.2,0.20337301587301584,0.050165450807057754,0.0,0.11618661208798484,0.30025502214666006,0.030446065053017703,0.16535054359983892
Qwen_Qwen2.5-32B-Instruct_meta-llama_Meta-Llama-3-8B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10308972641820274,0.25,0.0627993151101333,0.0418554143238879,0.08660254037844385,0.026222196047691,0.1900884636215923,0.01998555695973995,0.10503701029066614
Qwen_Qwen2.5-32B-Instruct_mistralai_Mistral-7B-Instruct-v0.1,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14761141449816365,0.2,0.1406425682160976,0.054778035090766744,0.0,0.09208596379538105,0.19600054787015475,0.0422887275715655,0.1191446377208601
Qwen_Qwen2.5-7B-Instruct_Qwen_Qwen2.5-14B-Instruct,level_2,0.0,0.0,0.0,120.0,0.02,0.02,0.02,0.04,0.04,0.04,0.09476559467298004,0.36,0.05278710334263985,0.06111858069943715,0.32,0.0319703704174166,0.0981057616416732,0.061720599842146756,0.07991318074191
Qwen_Qwen2.5-7B-Instruct_Qwen_Qwen2.5-32B-Instruct,level_2,0.2,0.0,0.0,120.0,0.26947450955671925,0.315,0.2971230158730158,0.2072596604780066,0.25870786247460203,0.22596720038323354,0.27326742627216283,1.0,0.1526949123339819,0.04845915340359175,0.0,0.03211227564726215,0.06917160632929995,0.10784794003821091,0.08850977318375544
Qwen_Qwen2.5-7B-Instruct_Qwen_Qwen2.5-7B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19397912222150684,0.2,0.23273809523809516,0.055001656818842254,0.0,0.13761106771967602,0.2435801290791746,0.009567312062539749,0.12657372057085714
Qwen_Qwen2.5-7B-Instruct_meta-llama_Meta-Llama-3-8B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14547712379615768,0.26,0.09950428656311006,0.06140560527546875,0.08,0.0462359276269937,0.10423621045938636,0.015528135431568849,0.059882172945477596
Qwen_Qwen2.5-7B-Instruct_mistralai_Mistral-7B-Instruct-v0.1,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1562596027948186,0.2,0.1294444444444444,0.022771643894657,0.0,0.0361580891006066,0.0468227424749163,0.0234113712374581,0.0351170568561872
meta-llama_Meta-Llama-3-8B-Instruct_Qwen_Qwen2.5-14B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888398326869423,0.29999999999999993,0.051568494884202204,0.044249139926867354,0.1732050807568877,0.0258079130586323,0.0728071650828357,0.049627869817508996,0.06121751745017236
meta-llama_Meta-Llama-3-8B-Instruct_Qwen_Qwen2.5-32B-Instruct,level_2,0.4,0.0,0.0,120.0,0.4033351170457941,0.4800000000000001,0.3457142857142857,0.3627471485423759,0.4308131845707603,0.3075114067902562,0.2650539215976298,1.0,0.1473122906763713,0.0561019478386937,0.0,0.0357402026186406,0.0651340996168582,0.1302681992337164,0.0977011494252873
meta-llama_Meta-Llama-3-8B-Instruct_Qwen_Qwen2.5-7B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12380785911598391,0.2,0.08896173271173265,0.0175614097710263,0.0,0.019481193195673548,0.11370552633067475,0.017082414163697,0.0653939702471859
meta-llama_Meta-Llama-3-8B-Instruct_meta-llama_Meta-Llama-3-8B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1170428914375644,0.22,0.07824868114341794,0.02144435307403935,0.04,0.0158298593412785,0.07953932826567464,0.0201762898269448,0.04985780904630975
meta-llama_Meta-Llama-3-8B-Instruct_mistralai_Mistral-7B-Instruct-v0.1,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2479916224577668,0.2799999999999999,0.2257142857142857,0.1021705571555541,0.0979795897113271,0.1070571085439725,0.0712074303405572,0.0185758513931888,0.044891640866873
mistralai_Mistral-7B-Instruct-v0.1_Qwen_Qwen2.5-14B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10433538295442174,0.28,0.06393427320200776,0.058698488225186154,0.16,0.0369013661365201,0.04327521793275215,0.05980414355258685,0.0515396807426695
mistralai_Mistral-7B-Instruct-v0.1_Qwen_Qwen2.5-32B-Instruct,level_2,0.2,0.0,0.0,120.0,0.2940896684830764,0.31999999999999995,0.31477272727272726,0.3267196631655386,0.3793795642065672,0.3180876299111859,0.23454003786330074,1.0,0.12738630316902244,0.0287797262355622,0.0,0.01845392475226665,0.10540019788574695,0.1334036348487215,0.11940191636723425
mistralai_Mistral-7B-Instruct-v0.1_Qwen_Qwen2.5-7B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206101104179403,0.2,0.084551282051282,0.0142666291892162,0.0,0.0143056473127279,0.0991379310344827,0.0086206896551724,0.0538793103448275
mistralai_Mistral-7B-Instruct-v0.1_meta-llama_Meta-Llama-3-8B-Instruct,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981090400579677,0.2,0.0637623295625718,0.016532614000563953,0.0,0.01493305794028345,0.04665817048994615,0.02466925597766715,0.0356637132338066
mistralai_Mistral-7B-Instruct-v0.1_mistralai_Mistral-7B-Instruct-v0.1,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19469651981998248,0.2,0.26436868686868686,0.05823869792689185,0.0,0.22301264799211515,0.09816219138010521,0.0241013656380661,0.061131778509085646
