model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-00.6B_Qwen_Qwen3-00.6B,level_1,0.0,0.0,0.0,120.0,0.18752250931695400,0.16666666666666700,0.23611111111111100,0.10367379420470800,0.0942809041582063,0.11947673982003600,0.7698367324595170,1.0,0.6500000000000000,0.0979906134389035,0.0,0.1414213562373100,0.050920181968569,0.0221601874827681,0.03654018472566860
Qwen_Qwen3-00.6B_Qwen_Qwen3-00.6B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16204425796028900,0.10317460317460300,0.5092592592592590,0.0685008762689063,0.04625735813290620,0.15262328494025800,0.06032986722926250,0.0080307344600912,0.0341803008446768
Qwen_Qwen3-00.6B_Qwen_Qwen3-00.6B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07203463659626730,0.043650793650793600,0.3333333333333330,0.057168124867863000,0.0343525962281443,0.2845177968644250,0.0924179130946728,0.005211824453033170,0.048814868773853000
Qwen_Qwen3-00.6B_Qwen_Qwen3-01.7B,level_1,0.0,0.0,0.0,120.0,0.09610583097716900,0.10000000000000000,0.1111111111111110,0.07707542564190650,0.08776643872851510,0.09581915952175500,0.6120507228446710,0.8055555555555560,0.645326278659612,0.06523520417048090,0.16190075346517200,0.17435589138499000,0.08157147689111150,0.05487606001304630,0.06822376845207890
Qwen_Qwen3-00.6B_Qwen_Qwen3-01.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10092513860884600,0.07936507936507930,0.2714285714285710,0.049712151746406600,0.022447834323382400,0.28145635995257000,0.06172872031195600,0.08958490746312270,0.0756568138875394
Qwen_Qwen3-00.6B_Qwen_Qwen3-01.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0373007384611383,0.0238095238095238,0.15333333333333300,0.014897935745069600,0.0084179378712684,0.1169035593728850,0.15524620444500600,0.13790092198442900,0.14657356321471700
Qwen_Qwen3-00.6B_Qwen_Qwen3-14.0B,level_1,0.0,0.0,0.0,120.0,0.13875128509810700,0.17777777777777800,0.13417277167277200,0.048105310523799400,0.031426968052735400,0.08251117892317430,0.1562956328790910,0.9444444444444450,0.0830710050818746,0.04269438266789300,0.07856742013183860,0.025474520499456800,0.0285159285159285,0.06138198965785170,0.04494895908689010
Qwen_Qwen3-00.6B_Qwen_Qwen3-14.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18956654633654300,0.5714285714285710,0.1099618649643050,0.0709186013511015,0.2020305089104420,0.040640474143321800,0.032475419317524600,0.0816078658183921,0.057041642567958300
Qwen_Qwen3-00.6B_Qwen_Qwen3-14.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23270469637487800,0.45238095238095200,0.1522791865284130,0.0196362089901529,0.03367175148507370,0.01446315176809860,0.020066889632107,0.09978229317851960,0.05992459140531330
Qwen_Qwen3-00.6B_Qwen_Qwen3-32.0B,level_1,0.0,0.0,0.0,120.0,0.22143820888104700,0.21666666666666700,0.29444444444444400,0.015492093659090900,0.028867513459481300,0.0467294551146131,0.14072316740299300,1.0,0.0722538053063415,0.0038357449223803000,0.0,0.002115422169422670,0.012933945259133400,0.04260775798628960,0.027770851622711500
Qwen_Qwen3-00.6B_Qwen_Qwen3-32.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2008294115108530,0.6428571428571430,0.115162037037037,0.0642904324133383,0.0714285714285714,0.0410879629629629,0.1184834123222750,0.0805687203791469,0.0995260663507109
Qwen_Qwen3-00.6B_Qwen_Qwen3-32.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26382025886342300,0.45238095238095200,0.18213425122654300,0.040211749993162900,0.03367175148507370,0.0334111303053332,0.0462299831013116,0.09502494568278740,0.0706274643920495
Qwen_Qwen3-00.6B_Qwen_Qwen3-04.0B,level_1,0.0,0.0,0.0,120.0,0.2045228500304760,0.2,0.26666666666666700,0.0185371863966618,2.77555756156289E-17,0.06481812160876680,0.20260392867429000,1.0,0.10808622299494500,0.01805675990438830,0.0,0.01052058219188450,0.01582080200501250,0.02114661654135340,0.0184837092731829
Qwen_Qwen3-00.6B_Qwen_Qwen3-04.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813857360044149,0.1428571428571430,0.05649848872355270,0.0064204029375437,0.0,0.0075626393709791,0.0087719298245614,0.01573464912280700,0.01225328947368420
Qwen_Qwen3-00.6B_Qwen_Qwen3-04.0B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058807266586133,0.0714285714285714,0.0508185317573113,0.0081346290750585,0.0,0.0124311832389891,0.026063929606538900,0.05403105295809340,0.04004749128231620
Qwen_Qwen3-00.6B_Qwen_Qwen3-08.0B,level_1,0.0,0.0,0.0,120.0,0.26260080560690600,0.26666666666666700,0.3030753968253970,0.13082979597151300,0.11547005383792500,0.1514083036880900,0.13452883136933100,1.0,0.06909276107223940,0.0238489310912115,0.0,0.013056940528275600,0.012880732071332600,0.03933842001727120,0.026109576044301800
Qwen_Qwen3-00.6B_Qwen_Qwen3-08.0B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0480082574021229,0.1428571428571430,0.02795792916760660,0.0043585350973144,0.0,0.0032877219746963,0.00441176470588235,0.0315666860803727,0.0179892253931275
Qwen_Qwen3-00.6B_Qwen_Qwen3-08.0B,level_5,0.0,0.0,0.0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05207813669151170,0.0857142857142857,0.0380018320132184,0.0129324718013821,0.02857142857142860,0.00957879959064925,0.00842271727172715,0.03898514851485150,0.0237039328932893
Qwen_Qwen3-01.7B_Qwen_Qwen3-01.7B,level_1,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5369140405267470,0.6111111111111110,0.6687830687830690,0.12567424279376000,0.21465018361979300,0.24567818728383000,0.14795592793330300,0.13144091956309100,0.1396984237481980
