model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284124473037589,0.23613636363636364,0.4908016983016983,0.16949138287883242,0.1279388510913701,0.32381514205792983,0.19513850171686592,0.07026659516083365,0.13270254843884977
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_2,0.5079365079365079,0.0,0.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39379558990442093,0.6,0.31891439146479716,0.27778381648709466,0.33674016588509403,0.2682463193940486,0.12445637214423336,0.08059454995871175,0.10252546105147255
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,level_2,0.75,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46555840594739983,0.72,0.3561398020501944,0.1829613038865031,0.1949193338482966,0.1655408382563487,0.2257231404958677,0.1849173553719008,0.20532024793388426
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,level_2,0.47045454545454546,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849155928504026,0.5499999999999999,0.20955961577862076,0.2024086003218531,0.310305229201675,0.16041636107244922,0.20861288857047647,0.12623764495060236,0.16742526676053943
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3505550940122288,0.2666666666666666,0.8636363636363636,0.0964794142427879,0.0942809041582063,0.3049183605681531,0.0592592592592592,0.0518518518518518,0.0555555555555555
Qwen_Qwen3-14B_Qwen_Qwen3-14B,level_2,0.37777777777777777,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259446331524849,0.3111111111111111,0.22970205720205716,0.26849383894156936,0.32176833012870026,0.24329379242368454,0.07339337877312559,0.12264969845187677,0.0980215386125012
Qwen_Qwen3-14B_Qwen_Qwen3-32B,level_2,0.3703703703703704,0.0,0.0,89.66666666666667,0.005766199915136066,0.0074074074074074,0.0046296296296296,0.016309276246680066,0.020951312035156964,0.013094570021973099,0.178820054306731,0.22666666666666666,0.15663307885530106,0.2562570741632318,0.30674006536189996,0.23954163586310995,0.10019263713844993,0.1058082585176181,0.10300044782803397
Qwen_Qwen3-14B_Qwen_Qwen3-8B,level_2,0.3833333333333333,0.0,0.0,63.25,0.0,0.0,0.0,0.0,0.0,0.0,0.22431865828393877,0.3261111111111111,0.17615883843825017,0.2303009457031381,0.33477253687635755,0.18283300256521057,0.07972241173460683,0.1571720961964864,0.1184472539655466
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2490130622544264,0.19999999999999996,0.4793650793650793,0.12155484664448385,0.09258200997725516,0.3739549281441626,0.04952011435572795,0.026768089306378,0.03814410183105295
Qwen_Qwen3-32B_Qwen_Qwen3-14B,level_2,0.3642857142857142,0.0,0.0,83.5,0.04292257016514755,0.0714285714285714,0.02976190476190475,0.10513839535342015,0.1749635530559413,0.0729014804399755,0.1661430985225683,0.18571428571428572,0.16879731379731375,0.2330763267976944,0.2538936657093754,0.2542261809077244,0.1066287878787878,0.09886363636363635,0.1027462121212121
Qwen_Qwen3-32B_Qwen_Qwen3-32B,level_2,0.7000000000000001,0.0,0.0,95.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.33908216695046484,0.4733333333333334,0.2623506069094304,0.2564761914827017,0.3611243590755999,0.19812117396718687,0.11719812925170066,0.1137329931972789,0.11546556122448977
Qwen_Qwen3-32B_Qwen_Qwen3-8B,level_2,0.42402597402597403,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1902101426633867,0.32064935064935063,0.13584008039890388,0.20598187690805758,0.3515648222589689,0.14733603154345695,0.13669354838709674,0.2281126563528637,0.18240310236998022
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_2,0.2080808080808081,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22323221801476667,0.16565656565656564,0.5064983164983164,0.14504928265058073,0.09957184605780389,0.41975753049211834,0.09436392914653784,0.2553945249597423,0.17487922705314005
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_2,0.5,0.0,0.0,104.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.37915239709574183,0.49333333333333335,0.3170881433381433,0.2524585308050064,0.33383545085489175,0.22734499670932792,0.09254596002969388,0.09821666836484666,0.09538131419727026
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_2,0.7634920634920634,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36869904104559287,0.49523809523809526,0.29467188014807055,0.2611795853697745,0.3495744877270739,0.21070055953208422,0.045006071645415834,0.1068609593199757,0.07593351548269577
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_2,0.3611111111111111,0.0,0.0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2422557989698756,0.40388888888888885,0.1776832271827742,0.2287030356482604,0.36229002230298357,0.17683568865939517,0.08082604697213502,0.131540112701227,0.10618307983668102
