recipe,model_combination,fuzzy_hierarchy,no_hierarchy,clear_hierarchy,avg_interactions,avg_sampled,avg_processing_time_seconds,success_reasons,agent_0_roles,agent_1_roles,total_outcomes
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,6,4,0,467.4,17.5,31.4,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,10,0,0,178.6,18.0,36.1,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,9,0,1,281.9,18.0,26.32,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,9,1,0,234.8,18.0,41.28,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,10,0,0,188.7,16.8,32.27,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,10,0,0,359.2,15.4,36.48,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,6,0,4,94.0,17.6,37.66,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,5,1,4,78.8,17.3,29.97,No specific reasons,"[1, 0]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,9,0,1,85.4,18.0,33.4,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,9,0,1,75.1,17.9,37.48,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,10,0,0,378.1,16.6,31.04,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,9,0,1,128.3,18.0,28.63,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,9,0,1,103.0,18.0,34.71,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,8,0,2,118.4,16.0,32.8,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,9,0,1,73.7,18.0,28.5,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0,293.1,17.2,33.87,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,10,0,0,70.4,16.7,38.27,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,9,0,1,170.2,18.0,50.48,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,9,1,0,38.5,14.9,32.84,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,8,0,2,52.55,16.0,99.79,{'Error occurred during analysis': 1},"[1, 0]","[0, 1]",10
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,10,0,0,419.7,18.0,36.5,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,10,0,0,124.1,18.0,33.03,No specific reasons,[0],[0],10
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,9,0,1,136.2,18.0,36.39,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-4B,8,1,1,39.6,13.8,26.81,No specific reasons,"[0, 1]",[0],10
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-8B,9,0,1,77.9,16.8,39.9,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,10,0,0,350.5,17.1,39.69,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,10,0,0,233.4,18.0,32.22,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,10,0,0,256.18,18.0,34.19,{'Error occurred during analysis': 1},[0],[0],10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,10,0,0,205.0,18.0,39.6,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,7,2,1,183.1,18.0,32.09,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,10,0,0,330.9,16.1,35.43,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,5,0,5,101.2,17.3,30.62,No specific reasons,"[1, 0]",[0],10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,6,0,4,141.18,18.0,38.6,{'Error occurred during analysis': 1},"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,7,0,3,65.7,15.7,32.65,No specific reasons,"[1, 0]",[0],10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,7,0,3,82.3,14.6,44.43,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,9,0,1,461.5,17.9,32.1,No specific reasons,[0],"[0, 1]",10
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,6,0,4,86.7,17.2,33.76,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,8,1,1,128.9,18.0,27.25,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,9,0,0,92.22,14.44,34.92,No specific reasons,[0],[0],9
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,7,0,3,87.7,17.6,35.53,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,9,1,0,335.6,17.7,32.67,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,9,0,1,107.0,18.0,32.17,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,9,0,1,84.6,16.7,77.47,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,10,0,0,37.0,16.7,34.45,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,9,1,0,65.9,12.8,39.53,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,8,2,0,333.5,17.3,30.01,No specific reasons,[0],[0],10
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,8,1,1,139.4,18.0,37.4,No specific reasons,"[0, 1]",[0],10
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,8,0,2,194.1,17.4,31.29,No specific reasons,"[0, 1]",[0],10
