model_combination,player0,player1,unknown
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,1,0,0
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,2,0,0
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,1,0,0
Qwen_Qwen3-14B_Qwen_Qwen3-14B,13,0,0
Qwen_Qwen3-14B_Qwen_Qwen3-32B,9,0,0
Qwen_Qwen3-14B_Qwen_Qwen3-4B,5,0,0
Qwen_Qwen3-14B_Qwen_Qwen3-8B,8,0,0
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,0,1,0
Qwen_Qwen3-32B_Qwen_Qwen3-14B,7,1,0
Qwen_Qwen3-32B_Qwen_Qwen3-32B,6,0,0
Qwen_Qwen3-32B_Qwen_Qwen3-4B,4,0,0
Qwen_Qwen3-32B_Qwen_Qwen3-8B,7,0,0
Qwen_Qwen3-4B_Qwen_Qwen3-14B,4,0,0
Qwen_Qwen3-4B_Qwen_Qwen3-32B,3,0,0
Qwen_Qwen3-4B_Qwen_Qwen3-4B,1,0,0
Qwen_Qwen3-4B_Qwen_Qwen3-8B,3,1,0
Qwen_Qwen3-8B_Qwen_Qwen3-14B,4,0,0
Qwen_Qwen3-8B_Qwen_Qwen3-32B,7,0,0
Qwen_Qwen3-8B_Qwen_Qwen3-4B,2,0,0
Qwen_Qwen3-8B_Qwen_Qwen3-8B,4,0,0
