model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_1,0.0,0.0,0.0,120.0,0.045697464196539200,0.036,0.075,0.0917020722571012,0.07266060555964670,0.14924537428188700,0.5097039593215390,0.57,0.6076507936507940,0.21560578884064000,0.2691739387341170,0.3617430191739190,0.1353680327323010,0.1557230600236380,0.1455455463779690
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29221117619494300,0.21200000000000000,0.7247590187590190,0.04409562724561290,0.02561249694973140,0.3398330624951720,0.031806544180696600,0.03248858365937010,0.03214756392003330
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772625885702760,0.11261904761904800,0.649352904040404,0.08349803844292310,0.04900936639723570,0.4041073425258800,0.19312554330628800,0.175472078346699,0.1842988108264940
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08806573185534200,0.0552380952380952,0.48530952380952400,0.056892541280790900,0.03968093654802930,0.34998696753105300,0.24145068600089800,0.1624905168268060,0.20197060141385200
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_1,0.0607142857142857,0.0,0.0,95.5,0.3712459423052970,0.36642857142857100,0.4422868996083280,0.22650163707115800,0.24710477188381900,0.27547462216881800,0.15981706449045400,1.0,0.08911515629247070,0.07943207913739050,0.0,0.06070074731119280,0.05835025565805900,0.0523398363364492,0.0553450459972541
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_2,0.0,0.0,0.0,120.0,0.01096015362457990,0.012,0.01,0.032880460873739800,0.036,0.03,0.22217916963927500,0.9640000000000000,0.12059559869780500,0.039633692405019700,0.08722499389946280,0.02414119004206620,0.03262658231169240,0.1098046798703070,0.07121563109099990
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_3,0.0,0.0,0.0,120.0,0.00685991049529102,0.00444444444444444,0.025,0.01384329288243600,0.00888888888888888,0.06020797289396150,0.24115838566101600,0.6171428571428570,0.14671841770134000,0.059847005714163000,0.1121899976040620,0.04130627892662830,0.05030559328312130,0.0954719718483763,0.07288878256574880
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13817854665750000,0.2291767056472940,0.09897928151721870,0.07843014465169510,0.1337414098440710,0.05658023929312080,0.06350015509300900,0.07696609472881400,0.07023312491091150
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,level_1,0.04,0.0,0.0,100.4,0.3525426307821930,0.34300000000000000,0.5492103174603180,0.14017444409833800,0.1253951348704920,0.29269860819625300,0.17930961856250000,1.0,0.09695162124224270,0.06472980091956270,0.0,0.04450316561236970,0.046182691862198300,0.06145346589043440,0.05381807887631640
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,level_2,0.0,0.0,0.0,120.0,0.0511241605630838,0.036,0.11666666666666700,0.09474890504677920,0.06825652350191210,0.2189514618821800,0.2658718706117170,0.992,0.14729574060834100,0.0325839089408076,0.024,0.02088037125933960,0.03153800072961390,0.1001263431605940,0.06583217194510370
