model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28384125481293165,0.24999999999999997,0.4229985119047619,0.20575835041523788,0.1824273569764179,0.3284519990491681,0.18117225974282763,0.12669479020189914,0.1539335249723634
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,level_2,0.65,34.39375,15.516071401364487,64.52499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.501482657127603,0.65,0.42523100969371125,0.21342724933066548,0.24825799217119263,0.21718161978708914,0.11292841709077135,0.11929485879664035,0.11611163794370585
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,level_2,0.65,36.44464285714285,12.393790730672762,66.325,0.0,0.0,0.0,0.0,0.0,0.0,0.3650647318567124,0.59,0.27294214656733157,0.2237745401121919,0.32564790922619774,0.18413626232459207,0.2600593560312288,0.18408547486921736,0.2220724154502231
Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,level_2,0.4861111111111111,46.61666666666667,17.794086210194,83.83888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.42190902620297654,0.635,0.3464744563929346,0.1533451534618922,0.278383933639447,0.16144798407235345,0.14178875856164008,0.15026526435844934,0.1460270114600447
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,level_2,0.575,44.47767857142857,15.435228925936737,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328655458225324,0.5599999999999999,0.25231337665215775,0.2136928293672043,0.31094263951073103,0.18434345074692082,0.21740273250112097,0.11072931052452903,0.164066021512825
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,level_2,0.125,69.25,5.715476066494082,113.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2512287539382002,0.21,0.4591071428571428,0.18398677277025763,0.15394752244332144,0.40062412562560157,0.06030184629762445,0.0746634935124209,0.06748266990502268
Qwen_Qwen3-14B_Qwen_Qwen3-14B,level_2,0.3,53.729166666666664,22.2313877452097,100.65,0.0,0.0,0.0,0.0,0.0,0.0,0.2597105295338189,0.32,0.22986237373737367,0.2675892391588358,0.32817105657071444,0.24303999668587853,0.08133077355856544,0.0848926015155547,0.08311168753706008
Qwen_Qwen3-14B_Qwen_Qwen3-32B,level_2,0.675,47.270535714285714,20.911393080162732,71.6,0.0,0.0,0.0,0.0,0.0,0.0,0.29258105654786803,0.375,0.2523387723387723,0.2756869795731207,0.3525121412461167,0.24485964967741694,0.07674643962359477,0.10748132973348487,0.09211388467853981
Qwen_Qwen3-14B_Qwen_Qwen3-4B,level_2,0.42500000000000004,47.20833333333333,19.434912156244955,88.82499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3579431273432805,0.505,0.29550478524743223,0.20525777469392054,0.2953382791067741,0.17980620083154158,0.1532580028574738,0.24434548403289957,0.1988017434451867
Qwen_Qwen3-14B_Qwen_Qwen3-8B,level_2,0.275,56.166666666666664,22.334077365484905,103.35,0.0,0.0,0.0,0.0,0.0,0.0,0.16352830807649785,0.245,0.13402514735497922,0.19932241916196047,0.2871158006329514,0.17561217312149155,0.1082479380276854,0.1843424220078967,0.14629518001779104
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,level_2,0.05,8.125,2.125,115.675,0.0,0.0,0.0,0.0,0.0,0.0,0.2631928076931921,0.215,0.5512310606060606,0.1680480078434196,0.1472660935219975,0.39553792186526565,0.05657530118744845,0.05270349616775372,0.05463939867760105
Qwen_Qwen3-32B_Qwen_Qwen3-14B,level_2,0.425,47.55,20.486649089932826,89.975,0.0,0.0,0.0,0.0,0.0,0.0,0.26628858021170254,0.385,0.20435717060717057,0.2645194877953001,0.3788637154757173,0.20861495608636044,0.16938888780180766,0.25375460854478415,0.21157174817329594
Qwen_Qwen3-32B_Qwen_Qwen3-32B,level_2,0.7,48.04960317460318,21.762169753321224,69.675,0.0,0.0,0.0,0.0,0.0,0.0,0.2769776525621868,0.365,0.22244789932289927,0.2611304847937534,0.34699097536448154,0.20977432599559082,0.1351311258877297,0.1848953054101364,0.16001321564893306
Qwen_Qwen3-32B_Qwen_Qwen3-4B,level_2,0.42777777777777776,64.36964285714285,21.604278771541384,95.42777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.3334062425110878,0.4816666666666667,0.2785401866651866,0.23374275558895855,0.328124914674708,0.2191575116472487,0.23887617673594919,0.3034449144797542,0.2711605456078517
Qwen_Qwen3-32B_Qwen_Qwen3-8B,level_2,0.42500000000000004,46.55416666666667,15.331170726925379,89.82499999999999,0.0061903470715835,0.015,0.00375,0.018571041214750526,0.045,0.01125,0.19134841595152066,0.32,0.1360201683421497,0.21566932436400263,0.35994389715794106,0.15349384680424882,0.09035368500020138,0.14933548488876355,0.11984458494448244
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,level_2,0.1,58.0,6.75,115.725,0.0,0.0,0.0,0.0,0.0,0.0,0.2827145720345973,0.24,0.48873106060606053,0.15894792477424685,0.11936253712102603,0.3742007723296529,0.25757682880844646,0.2226480015082956,0.240112415158371
Qwen_Qwen3-4B_Qwen_Qwen3-14B,level_2,0.3,57.666666666666664,25.327731239134994,101.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19963857852302996,0.25,0.17631222943722938,0.22330960902302616,0.2742441198667315,0.2097428028495164,0.21460108025590524,0.15433486185076847,0.1844679710533369
Qwen_Qwen3-4B_Qwen_Qwen3-32B,level_2,0.55,57.98988095238095,24.10143024255744,85.825,0.0,0.0,0.0,0.0,0.0,0.0,0.22559530178395004,0.3,0.19046098702638947,0.25298636087935383,0.3451153377141962,0.21357482324071775,0.24692982456140347,0.10323725981620716,0.17508354218880529
Qwen_Qwen3-4B_Qwen_Qwen3-4B,level_2,0.325,63.833333333333336,10.729764638742452,101.725,0.0,0.0,0.0,0.0,0.0,0.0,0.33656795409686535,0.48,0.2922630858049907,0.22312579072423794,0.3344123566810752,0.22883786088374258,0.2942111330698287,0.2603565546772068,0.27728384387351773
Qwen_Qwen3-4B_Qwen_Qwen3-8B,level_2,0.325,66.54166666666666,18.400601717627122,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.18609774440251,0.31,0.14271734671228742,0.20424447185117475,0.33717847081556024,0.16272054653325008,0.15290144939936978,0.13056882693888783,0.1417351381691288
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_2,0.15000000000000002,61.875,2.875,114.525,0.0,0.0,0.0,0.0,0.0,0.0,0.24000273362692087,0.22,0.3564988238885298,0.12781604705019886,0.09877260792952908,0.31316756910084176,0.0375531302987483,0.14231091338535856,0.0899320218420534
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_2,0.35,45.458333333333336,11.917204162783351,95.275,0.0,0.0,0.0,0.0,0.0,0.0,0.32972990493250914,0.39999999999999997,0.28738455988455985,0.3028225251166509,0.3692333074244432,0.2696075666078419,0.04529016674458468,0.13806437977247932,0.09167727325853198
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_2,0.6,50.296031746031744,18.307396896289344,79.025,0.0,0.0,0.0,0.0,0.0,0.0,0.36210971662630637,0.475,0.3085268204018204,0.24305972876491155,0.3136519825879793,0.21945612639525786,0.07583229164585666,0.12072314753243735,0.098277719589147
Qwen_Qwen3-8B_Qwen_Qwen3-4B,level_2,0.375,40.27083333333333,8.774059192893837,89.325,0.01695632798573975,0.025,0.0125,0.05086898395721925,0.075,0.0375,0.35549430761503553,0.45499999999999996,0.33070034132534126,0.23473831740652948,0.30014256124757577,0.2705441748903451,0.10504724111866967,0.31781746031746033,0.211432350718065
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_2,0.325,42.020833333333336,16.042217898319397,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2675488572640163,0.385,0.2247483370387782,0.2556716536900736,0.3732254225495951,0.2256163818996211,0.0868620414673046,0.14168506931664823,0.11427355539197642
