model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-4B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.0,0.0,0.0,120,0.024793926954028600,0.015384615384615400,0.07692307692307690,0.085888682407058,0.053293871002119300,0.26646935501059700,0.10386531358302700,0.46153846153846200,0.05634132287586080,0.08537030141592990,0.345383758779133,0.04723744832353280,0.03793103448275860,0.10689655172413800,0.07241379310344830
Qwen_Qwen3-4B_Qwen_Qwen3-8B,boiled_potato_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.13544932860886000,0.6000000000000000,0.07378154449056950,0.081573106261519,0.40000000000000000,0.04389772030697490,0.07801418439716310,0.04964539007092200,0.06382978723404260
Qwen_Qwen3-4B_Qwen_Qwen3-8B,mashed_carrot_and_chickpea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.05639338573631540,0.11038961038961000,0.03763860063038700,0.03312456754192950,0.06362311020216050,0.02203542224708390,0.020080321285140600,0.0321285140562249,0.02610441767068270
Qwen_Qwen3-4B_Qwen_Qwen3-8B,mashed_potato_and_pea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.059262742834608200,0.10000000000000000,0.04234948416774690,0.03520472054486510,0.05714285714285710,0.026324310878808100,0.12301587301587300,0.047619047619047600,0.08531746031746030
Qwen_Qwen3-4B_Qwen_Qwen3-8B,boiled_egg,1,0.0,0.0,0.0,120,0.25863755246027400,0.20000000000000000,0.5132936507936510,0.1275615225579840,0.08164965809277260,0.3712014190600830,0.14837064022991700,1.0,0.07761855378961010,0.062367712507194300,0.0,0.03607323360338660,0.0641025641025641,0.057692307692307700,0.060897435897435900
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_bell_pepper,1,0.3,0.0,0.0,30,0.5807955432501800,0.7,0.5465422077922080,0.2835025706637970,0.24083189157584600,0.33399219865253200,0.1610802806990220,1.0,0.08523449066691560,0.0713218362338991,0.0,0.04283899110008380,0.07420494699646640,0.07420494699646640,0.07420494699646640
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_carrot_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.1251454539194160,0.37142857142857100,0.07242000783596710,0.10380853094126400,0.2799416848895060,0.06122018369445680,0.07194244604316550,0.05755395683453240,0.06474820143884890
Qwen_Qwen3-4B_Qwen_Qwen3-8B,mashed_sweet_potato_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.05770805449701500,0.125,0.036385225506481800,0.03880638634461240,0.09942436362196470,0.022982887611061200,0.06962025316455700,0.04430379746835440,0.056962025316455700
Qwen_Qwen3-4B_Qwen_Qwen3-8B,boiled_mushroom,1,0.0,0.0,0.0,120,0.27066456808920800,0.25,0.37604166666666700,0.15750426931663000,0.1322875655532300,0.30269155723185400,0.11088959322794400,1.0,0.05614644619891360,0.030457797363468900,0.0,0.016899522047687400,0.050505050505050500,0.06060606060606060,0.05555555555555560
Qwen_Qwen3-4B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.1002994847377120,0.4444444444444440,0.05488205125886290,0.06716024914954540,0.3499559055116360,0.03578932207341450,0.05333333333333330,0.04,0.04666666666666670
Qwen_Qwen3-4B_Qwen_Qwen3-8B,mashed_broccoli_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.07835324987433720,0.14285714285714300,0.05412028946236110,0.059064452206604,0.10101525445522100,0.04426126101535380,0.04697986577181210,0.04697986577181210,0.04697986577181210
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_potato_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.11734128600453700,0.3142857142857140,0.07111796063015580,0.07167310619546350,0.22857142857142900,0.04166492672202280,0.0425531914893617,0.010638297872340400,0.026595744680851100
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_bell_pepper_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.08832511031104540,0.3142857142857140,0.04953073569749300,0.06653048623062650,0.2618614682831910,0.03655805675768830,0.022556390977443600,0.02631578947368420,0.02443609022556390
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.10833586800931100,0.52,0.05818228511865600,0.07039775130982630,0.34871191548325400,0.0380114593531491,0.05042016806722690,0.1092436974789920,0.07983193277310920
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_sweet_potato,1,0.1111111111111110,0.0,0.0,120,0.25755301358207100,0.5333333333333330,0.1707820000154100,0.13797546200228100,0.26666666666666700,0.10379498592534600,0.15033775790639100,1.0,0.0777856735790024,0.032619926790851900,0.0,0.018804590960378600,0.058355437665782500,0.07161803713527850,0.06498673740053050
Qwen_Qwen3-4B_Qwen_Qwen3-8B,boiled_sweet_potato,1,0.0,0.0,0.0,120,0.2173899432343390,0.2,0.28871794871794900,0.05771479139217560,0.0,0.14237212678473000,0.13631843265432300,1.0,0.07017249417249420,0.04086590495277350,0.0,0.02227317114677010,0.10204081632653100,0.07142857142857140,0.08673469387755100
Qwen_Qwen3-4B_Qwen_Qwen3-8B,baked_mushroom_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.07547648588241030,0.2857142857142860,0.04178252073033520,0.06364696433830760,0.23035022137995900,0.03559007392826770,0.06802721088435380,0.08503401360544220,0.07653061224489800
Qwen_Qwen3-4B_Qwen_Qwen3-8B,mashed_cauliflower_and_lentil_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.13336951613704200,0.2857142857142860,0.08491830352710400,0.06738036749988020,0.15971914124998500,0.04205760016006510,0.07216494845360820,0.12371134020618600,0.0979381443298969
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,mashed_sweet_potato_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.12379160632981200,0.07142857142857140,0.8652173913043480,0.008508987306988480,1.38777878078145E-17,0.29393683978790200,0.03805413887799140,0.03138485680659080,0.03471949784229110
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_sweet_potato,1,0.6,0.0,0.0,22,0.6740512487836520,0.6600000000000000,0.7,0.4477619774806510,0.4476605857119880,0.45825756949558400,0.6657194356843500,0.85,0.6533333333333330,0.10221245256196100,0.22912878474779200,0.25612496949731400,0.32541133455210200,0.29250457038391200,0.3089579524680070
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_bell_pepper_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.254222931175979,0.1714285714285710,0.8133333333333330,0.04037667611470050,0.057142857142857100,0.285657137141714,0.2720379146919430,0.04170616113744080,0.15687203791469200
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_pumpkin_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.2275197327099200,0.14285714285714300,0.85,0.028127162222666200,0.0,0.3023059524536180,0.08619091751621870,0.025949953660797000,0.05607043558850790
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_pumpkin_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.3223210504023720,0.20000000000000000,1.0,5.55111512312578E-17,2.77555756156289E-17,0.0,0.11478730587440900,0.024983119513842,0.06988521269412560
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_potato_soup,3,0.0,0.0,0.0,120,0.07918834547346510,0.06666666666666670,0.1,0.23756503642039500,0.20000000000000000,0.30000000000000000,0.25806958535834400,0.21428571428571400,0.4128571428571430,0.1733302319194540,0.1720227796970330,0.2622080495036140,0.12525879917184300,0.044513457556935800,0.08488612836438920
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,mashed_cauliflower_and_lentil_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.175580315425085,0.10714285714285700,0.85,0.08026502826340310,0.05758755534498960,0.21343747458109500,0.05921052631578950,0.03101503759398500,0.045112781954887200
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,mashed_broccoli_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.08798498786177190,0.05,0.6333333333333330,0.057741057365681600,0.032732683535398900,0.45825756949558400,0.3664259927797830,0.07129963898916970,0.21886281588447700
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,boiled_green_bean_slices,2,0.07692307692307690,0.0,0.0,120,0.07692307692307690,0.07692307692307690,0.07692307692307690,0.26646935501059700,0.26646935501059700,0.26646935501059700,0.13302632135961900,0.12307692307692300,0.19230769230769200,0.2526629699650470,0.2664693550105970,0.33234567684142900,0.7514084507042250,0.2584507042253520,0.5049295774647890
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,mashed_potato_and_pea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.16514554280659200,0.10714285714285700,0.819047619047619,0.06131131993058120,0.05758755534498960,0.277500995892066,0.14101382488479300,0.027649769585253500,0.08433179723502300
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_potato_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.3410653184209950,0.32000000000000000,0.7150000000000000,0.06602466317920490,0.16000000000000000,0.35341194094144600,0.18198198198198200,0.03423423423423420,0.10810810810810800
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_mushroom_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.24074659917747500,0.14285714285714300,1.0,0.0,2.77555756156289E-17,0.0,0.11077389984825500,0.03186646433990900,0.07132018209408200
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_carrot_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.23460313624370500,0.14285714285714300,0.925,0.0184303888013105,0.0,0.225,0.076076993583868,0.02933088909257560,0.052703941338221800
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,boiled_sweet_potato,1,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.6707509458352370,0.55,0.9666666666666670,0.04584456877186190,0.15,0.1,0.23209169054441300,0.18911174785100300,0.21060171919770800
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_bell_pepper,1,0.6,0.0,0.0,17,0.6,0.6,0.6,0.4898979485566360,0.4898979485566360,0.4898979485566360,0.6504379127603960,0.8,0.6866666666666670,0.09050901997827220,0.24494897427831800,0.2765662468358870,0.27741935483871000,0.22903225806451600,0.2532258064516130
