model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,2,0.3,57.666666666666664,33.289971796657056,101.6,0.0,0.0,0.0,0.0,0.0,0.0,0.39871572932441424,0.5599999999999999,0.32530663780663777,0.1816831547842062,0.27999999999999997,0.16244387198208526,0.18947368421052632,0.2736842105263158,0.23157894736842105
Qwen_Qwen3-14B_Qwen_Qwen3-4B,boiled_green_bean_slices,2,0.6,39.166666666666664,12.266711956438131,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.37272272747635193,0.54,0.29007936507936505,0.2620608665632439,0.3693237062523878,0.2118650013229847,0.19148936170212766,0.23404255319148937,0.2127659574468085
Qwen_Qwen3-14B_Qwen_Qwen3-4B,boiled_corn_slices,2,0.4,37.25,19.2142525225417,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.38062424042114934,0.42000000000000004,0.37012987012987014,0.21966655048187567,0.26,0.22241141849560844,0.12,0.28,0.2
Qwen_Qwen3-14B_Qwen_Qwen3-4B,boiled_potato_slices,2,0.4,54.75,12.968712349342937,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27970981215120666,0.5,0.19650326797385623,0.15762052694635645,0.2720294101747089,0.122504511525488,0.11206896551724138,0.1896551724137931,0.15086206896551724
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,boiled_green_bean_slices,2,0.1,96.0,0.0,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2888578454898169,0.24000000000000005,0.5699242424242423,0.15411106333987212,0.08,0.43158979207412856,0.11764705882352941,0.09411764705882353,0.10588235294117647
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,boiled_potato_slices,2,0.2,73.0,27.0,110.8,0.0,0.0,0.0,0.0,0.0,0.0,0.18010090557789946,0.16,0.2758333333333333,0.10289905384269839,0.08,0.2737205083048522,0.15625,0.10416666666666667,0.13020833333333334
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,baked_pumpkin_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394878666993998,0.3,0.6791666666666666,0.22127778678230922,0.161245154965971,0.40313442064789146,0.4230769230769231,0.6153846153846154,0.5192307692307693
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,boiled_corn_slices,2,0.1,63.0,0.0,114.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2670208700766749,0.26000000000000006,0.4299999999999999,0.1575037951321078,0.1562049935181331,0.3883583682917393,0.3333333333333333,0.07692307692307693,0.20512820512820512
Qwen_Qwen3-14B_Qwen_Qwen3-14B,boiled_green_bean_slices,2,0.2,61.0,13.0,108.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3680498297850618,0.42000000000000004,0.355515873015873,0.2806517007132774,0.31559467676119,0.29828879403780173,0.061224489795918366,0.061224489795918366,0.061224489795918366
Qwen_Qwen3-14B_Qwen_Qwen3-14B,boiled_corn_slices,2,0.4,70.25,29.303370113350443,100.5,0.0,0.0,0.0,0.0,0.0,0.0,0.27876261563253235,0.34,0.24017316017316018,0.2421935124540796,0.31048349392520047,0.20910747158193374,0.07526881720430108,0.06451612903225806,0.06989247311827956
Qwen_Qwen3-14B_Qwen_Qwen3-14B,boiled_potato_slices,2,0.3,36.666666666666664,16.21384867602041,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2667966757880592,0.36,0.22217316017316016,0.29619335161643895,0.3666060555964672,0.2596145856138929,0.125,0.15,0.1375
Qwen_Qwen3-14B_Qwen_Qwen3-14B,baked_pumpkin_slices,2,0.3,47.0,30.40833219146796,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.12523299692962228,0.16,0.10158730158730159,0.2513183918515473,0.32,0.20514913550988587,0.06382978723404255,0.06382978723404255,0.06382978723404255
Qwen_Qwen3-4B_Qwen_Qwen3-4B,boiled_potato_slices,2,0.4,50.0,14.370107863199914,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3885343154237956,0.5399999999999999,0.32469343521975097,0.17325149633061424,0.28354893757515653,0.1560608935111667,0.20833333333333334,0.2708333333333333,0.23958333333333331
Qwen_Qwen3-4B_Qwen_Qwen3-4B,boiled_green_bean_slices,2,0.3,113.0,3.7416573867739413,118.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2606574527137061,0.45999999999999996,0.24972826086956518,0.2177801432565557,0.4004996878900157,0.29766168198023374,0.15942028985507245,0.08695652173913043,0.12318840579710144
Qwen_Qwen3-4B_Qwen_Qwen3-4B,baked_pumpkin_slices,2,0.3,38.0,13.366625103842281,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3189652276214562,0.42000000000000004,0.27215811965811965,0.24650169094659916,0.3280243893371345,0.2212130696126106,0.4,0.32,0.36
Qwen_Qwen3-4B_Qwen_Qwen3-4B,boiled_corn_slices,2,0.3,54.333333333333336,11.440668201153676,100.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3781148206285036,0.5000000000000001,0.3224725274725274,0.25496983236318277,0.32557641192199416,0.24041579843095937,0.4090909090909091,0.36363636363636365,0.38636363636363635
Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,boiled_green_bean_slices,2,0.4,58.0,35.55980877338909,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.337003262003109,0.5399999999999999,0.245465367965368,0.21326075533609,0.32310988842807026,0.16019716131456302,0.08375634517766498,0.13959390862944163,0.1116751269035533
Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,boiled_corn_slices,2,0.6,31.166666666666668,8.374896350934074,67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.47680919573810154,0.66,0.3716089466089466,0.1829809177453277,0.2690724809414742,0.14674021020984518,0.2653061224489796,0.1326530612244898,0.1989795918367347
