UID,p0,p1,recipe,p0_valid_actions,p1_valid_actions,p0_total_actions,p1_total_actions,free_ride_index,alternation_rate
2025-08-19_06-59-29,Qwen3-14B,Qwen3-14B,boiled_corn_slices,1,0,1,0,1.000000,0.000000
2025-08-19_07-05-52,Qwen3-14B,Qwen3-14B,boiled_corn_slices,1,3,8,11,0.500000,0.333333
2025-08-19_07-29-59,Qwen3-14B,Qwen3-14B,boiled_corn_slices,1,0,7,0,1.000000,0.000000
2025-08-19_07-35-40,Qwen3-14B,Qwen3-14B,boiled_corn_slices,0,3,2,7,1.000000,0.000000
2025-08-19_07-51-50,Qwen3-14B,Qwen3-14B,boiled_corn_slices,4,1,12,6,0.600000,0.250000
2025-08-19_08-02-35,Qwen3-14B,Qwen3-14B,boiled_corn_slices,1,2,5,5,0.333333,0.500000
2025-08-19_08-26-52,Qwen3-14B,Qwen3-14B,boiled_corn_slices,4,1,12,7,0.600000,0.250000
2025-08-19_08-53-36,Qwen3-14B,Qwen3-14B,boiled_corn_slices,0,4,0,8,1.000000,0.000000
2025-08-19_09-23-31,Qwen3-14B,Qwen3-14B,boiled_corn_slices,3,1,8,5,0.500000,0.333333
2025-08-19_09-36-12,Qwen3-14B,Qwen3-14B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_04-52-18,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
2025-08-19_05-41-52,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,2,1,3,9,0.333333,0.500000
2025-08-19_06-23-49,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,0,0,0,0.000000,0.000000
2025-08-19_06-24-52,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,1,0,3,1.000000,0.000000
2025-08-19_07-13-49,Qwen3-14B,Qwen3-1.7B,boiled_corn_slices,0,1,0,1,1.000000,0.000000
