model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_potato_soup,3,0.0,0.0,0.0,120,0.011729346485820000,0.01111111111111110,0.0125,0.03518803945745990,0.03333333333333330,0.037500000000000000,0.0988636763883263,0.3142857142857140,0.05716947947094380,0.11394682744960900,0.2913725436338730,0.06898037983859990,0.1222707423580790,0.09315866084425040,0.10771470160116400
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_potato_and_pea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.04290695107353990,0.08928571428571430,0.02858405328439310,0.02710734321484350,0.054748963274128200,0.020042171783645400,0.0647887323943662,0.04154929577464790,0.05316901408450700
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.4,0.0,0.0,120,0.3477759173017870,0.4,0.3168831168831170,0.4362411822054360,0.48989794855663600,0.4138437572593060,0.19016005223637900,0.66,0.10980575106051600,0.1569943978281520,0.38,0.09644183844184740,0.1575091575091580,0.1391941391941390,0.14835164835164800
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_egg,1,1.0,0.0,0.0,21,1.0,1.0,1.0,0.0,0.0,0.0,0.5201841990389720,1.0,0.3585714285714290,0.17044209615472800,0.0,0.1551248491404960,0.23655913978494600,0.23118279569892500,0.2338709677419360
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.09933890747685980,0.52,0.052751620577134900,0.08368910418865260,0.39191835884530800,0.045536418940406000,0.10835913312693500,0.0913312693498452,0.0998452012383901
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_bell_pepper_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0821554602049864,0.2857142857142860,0.04667796748595850,0.06192761260501600,0.23035022137995900,0.03532288977445390,0.0963855421686747,0.07530120481927710,0.08584337349397590
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_mushroom,1,1.0,0.0,0.0,17,1.0,1.0,1.0,0.0,0.0,0.0,0.5839608596453600,1.0,0.4138888888888890,0.13352234012513200,0.0,0.1410115571833010,0.39759036144578300,0.4578313253012050,0.42771084337349400
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_carrot_and_chickpea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.03618960044967740,0.0857142857142857,0.02260369084113860,0.015065665044762300,0.042857142857142800,0.009834057194943360,0.07017543859649120,0.05847953216374270,0.06432748538011700
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_sweet_potato,1,1.0,0.0,0.0,19,1.0,1.0,1.0,0.0,0.0,0.0,0.5248233452882750,1.0,0.35523809523809500,0.12667970465611500,0.0,0.12548680717713000,0.4235294117647060,0.4235294117647060,0.4235294117647060
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_pumpkin_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.06473030337265910,0.2428571428571430,0.03611574337657370,0.06701177724069300,0.20253495541082600,0.03865910085482970,0.11301859799713900,0.07010014306151650,0.09155937052932760
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_sweet_potato_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.04545731577550420,0.11038961038961000,0.027735005540648200,0.049382251636031600,0.12320562312344300,0.02969982133234240,0.07272727272727270,0.07151515151515150,0.07212121212121210
