model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_sweet_potato,1,1.0,0.0,0.0,19,1.0,1.0,1.0,0.0,0.0,0.0,0.5248233452882746,1.0,0.35523809523809524,0.12667970465611528,0.0,0.12548680717712998,0.4235294117647059,0.4235294117647059,0.4235294117647059
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_pumpkin_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.06473030337265909,0.2428571428571428,0.03611574337657373,0.06701177724069296,0.20253495541082608,0.03865910085482969,0.11301859799713877,0.07010014306151645,0.09155937052932761
Qwen_Qwen3-32B_Qwen_Qwen3-8B,sliced_bell_pepper_and_lentil_stew,4,0.2,0.0,0.0,120,0.2930270287548379,0.375,0.25038766788766786,0.23383816079403782,0.34003676271838607,0.1834521462966775,0.10948728540680533,0.35555555555555557,0.062211696412116456,0.11894658608861046,0.37777777777777777,0.0677637412150496,0.13195342820181113,0.10219922380336352,0.11707632600258733
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_carrot_soup,3,0.0,0.0,0.0,120,0.058646732429099874,0.05555555555555555,0.0625,0.19450920664769258,0.1842569327975222,0.2072890493972125,0.07767257795092385,0.3452380952380953,0.04186085940763015,0.06782795095143297,0.3111222463183805,0.03639085412785047,0.12935323383084577,0.11318407960199005,0.1212686567164179
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_bell_pepper,1,1.0,0.0,0.0,20,0.9681024961343052,1.0,0.9428571428571428,0.06379500773138945,0.0,0.11428571428571428,0.6297458075257051,1.0,0.45666666666666667,0.11439260212161026,0.0,0.11357816691600546,0.53125,0.5,0.515625
Qwen_Qwen3-32B_Qwen_Qwen3-8B,sliced_zucchini_and_chickpea_stew,4,0.0,0.0,0.0,120,0.20738750670200384,0.25,0.2018528544487624,0.06368821927748711,0.0,0.11699797201585752,0.04723474605700281,0.15555555555555559,0.026811215973652276,0.046259034307779646,0.13333333333333336,0.02679217827206176,0.06693440428380187,0.050870147255689425,0.058902275769745646
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_potato_and_pea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.04290695107353991,0.08928571428571427,0.02858405328439311,0.02710734321484351,0.054748963274128176,0.020042171783645358,0.0647887323943662,0.04154929577464789,0.05316901408450704
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.4,0.0,0.0,120,0.3477759173017867,0.4,0.3168831168831169,0.4362411822054359,0.48989794855663565,0.4138437572593062,0.19016005223637855,0.66,0.10980575106051646,0.1569943978281517,0.38,0.09644183844184744,0.1575091575091575,0.1391941391941392,0.14835164835164835
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_broccoli_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.036469351056459945,0.0857142857142857,0.022589481638039026,0.016503725155907797,0.042857142857142844,0.010160212262690628,0.097953216374269,0.07017543859649122,0.08406432748538012
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.05,0.0,0.0,120,0.0339126559714795,0.05,0.025,0.1478218402867403,0.21794494717703364,0.10897247358851682,0.06552255622208474,0.43000000000000005,0.033889565435597936,0.0539758601810989,0.3303028912982749,0.02822622033580055,0.11093247588424437,0.07717041800643087,0.09405144694533762
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_carrot_and_chickpea_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.03565654353029713,0.0844155844155844,0.022232311539082214,0.014463116403561396,0.04106854104114777,0.009449667110989672,0.07066666666666667,0.05733333333333333,0.064
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_sweet_potato,1,1.0,0.0,0.0,18,1.0,1.0,1.0,0.0,0.0,0.0,0.4721821541710726,1.0,0.338982683982684,0.23306382807738704,0.0,0.256241669525132,0.37383177570093457,0.37383177570093457,0.37383177570093457
Qwen_Qwen3-32B_Qwen_Qwen3-8B,sliced_eggplant_and_chickpea_stew,4,0.0,0.0,0.0,120,0.18938865309582859,0.25,0.15609555047635543,0.035618404451199716,0.0,0.05511648598041202,0.08538424960900522,0.2888888888888889,0.04806189450747484,0.09568344530802453,0.3111111111111111,0.054204549153873,0.10026041666666667,0.07942708333333333,0.08984375
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_potato_slices,2,0.05555555555555555,0.0,0.0,120,0.05423128358652469,0.06666666666666667,0.04523809523809524,0.193207393431009,0.23094010767585033,0.1638711124530454,0.12030151338433548,0.5222222222222224,0.06668590666031948,0.11539499343219317,0.36599264648890234,0.06984779809582006,0.11139028475711893,0.09212730318257957,0.10175879396984924
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_egg,1,1.0,0.0,0.0,21,1.0,1.0,1.0,0.0,0.0,0.0,0.5201841990389722,1.0,0.3585714285714286,0.17044209615472813,0.0,0.1551248491404961,0.23655913978494625,0.23118279569892472,0.2338709677419355
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_mushroom_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.07199507170268625,0.3142857142857143,0.03893544123662444,0.05737263914609042,0.2618614682831909,0.030863877904529508,0.1019786910197869,0.0852359208523592,0.09360730593607305
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_mushroom,1,1.0,0.0,0.0,17,1.0,1.0,1.0,0.0,0.0,0.0,0.5839608596453595,1.0,0.4138888888888889,0.13352234012513198,0.0,0.1410115571833006,0.39759036144578314,0.4578313253012048,0.42771084337349397
Qwen_Qwen3-32B_Qwen_Qwen3-8B,sliced_pumpkin_and_chickpea_stew,4,0.0,0.0,0.0,120,0.20567061658036523,0.2875,0.15837947999712704,0.08157029887601457,0.1125,0.06458667169455026,0.07499837089621428,0.24444444444444446,0.042761181451652176,0.08737965617354754,0.26666666666666666,0.05054019132627461,0.10178817056396149,0.07565337001375516,0.08872077028885833
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_potato_soup,3,0.0,0.0,0.0,120,0.011729346485819974,0.01111111111111111,0.0125,0.03518803945745992,0.03333333333333333,0.037500000000000006,0.0988636763883263,0.3142857142857142,0.05716947947094375,0.11394682744960904,0.2913725436338734,0.06898037983859986,0.1222707423580786,0.09315866084425037,0.10771470160116448
Qwen_Qwen3-32B_Qwen_Qwen3-8B,sliced_bell_pepper_and_corn_stew,4,0.0,0.0,0.0,120,0.15196158156136086,0.2,0.13480863963622586,0.09087125815786366,0.1,0.11025728120210333,0.03960085749417942,0.13333333333333336,0.022487430399482016,0.012255221270297764,0.044444444444444446,0.007264378653850187,0.09354413702239789,0.05401844532279315,0.07378129117259552
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_bell_pepper_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0821554602049864,0.2857142857142857,0.04667796748595846,0.06192761260501598,0.23035022137995856,0.03532288977445389,0.0963855421686747,0.07530120481927711,0.08584337349397592
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_sweet_potato_and_bean_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.04020696295085636,0.09285714285714283,0.024911764566944914,0.0371713965248129,0.09340497736158586,0.02235938905886107,0.06748466257668712,0.05862304021813224,0.06305385139740968
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.09933890747685978,0.52,0.052751620577134936,0.08368910418865255,0.39191835884530846,0.045536418940405964,0.10835913312693499,0.0913312693498452,0.0998452012383901
Qwen_Qwen3-32B_Qwen_Qwen3-8B,mashed_cauliflower_and_lentil_patty,5,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.05799222098960638,0.11428571428571428,0.03829994534078475,0.041300462780606985,0.09147320339189784,0.02600674752362015,0.08052708638360176,0.08199121522693997,0.08125915080527087
