recipe,model_combination,fuzzy_hierarchy,no_hierarchy,clear_hierarchy,total_outcomes
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,6,4,0,10
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,10,0,0,10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,7,0,3,10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,5,0,5,10
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,10,0,0,10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,10,0,0,10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0,10
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,9,1,0,10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,10,0,0,10
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,10,0,0,10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,6,0,4,10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,6,0,4,10
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,10,0,0,10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0,10
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,10,0,0,10
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,6,4,0,10
boiled_green_bean_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,10,0,0,10
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,8,0,2,10
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,4,0,6,10
boiled_green_bean_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,10,0,0,10
boiled_green_bean_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,5,0,0,5
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0,10
boiled_green_bean_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,10,0,0,10
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,7,3,0,10
boiled_potato_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,9,0,0,9
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,6,0,4,10
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,7,0,3,10
boiled_potato_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,10,0,0,10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0,10
boiled_potato_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,10,0,0,10
