recipe,model_combination,fuzzy_hierarchy,no_hierarchy,clear_hierarchy
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,10,0,0
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,6,0,4
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,7,0,3
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,7,0,3
baked_pumpkin_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,7,0,3
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,9,0,1
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,3,0,7
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,1,0,9
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,5,0,5
baked_pumpkin_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,3,0,7
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,6,0,4
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,0,0,10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,0,0,10
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,5,0,5
baked_pumpkin_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,2,0,8
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,5,0,5
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,6,0,4
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,7,0,3
baked_pumpkin_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,8,0,2
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,7,0,3
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,5,0,5
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,5,0,5
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-4B,9,0,1
baked_pumpkin_slices,Qwen_Qwen3-8B_Qwen_Qwen3-8B,4,0,6
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,9,0,1
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,3,0,7
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,3,0,7
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,6,0,4
boiled_corn_slices,Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,3,0,7
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,5,0,5
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-14B,4,0,6
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-32B,1,0,9
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-4B,6,0,4
boiled_corn_slices,Qwen_Qwen3-14B_Qwen_Qwen3-8B,4,0,6
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,5,0,5
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-14B,3,0,7
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-32B,2,0,8
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-4B,4,0,5
boiled_corn_slices,Qwen_Qwen3-32B_Qwen_Qwen3-8B,3,0,7
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,10,0,0
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-14B,7,0,3
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-32B,6,0,4
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-4B,9,0,1
boiled_corn_slices,Qwen_Qwen3-4B_Qwen_Qwen3-8B,8,0,2
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,6,0,4
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-14B,6,0,4
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-32B,5,0,5
boiled_corn_slices,Qwen_Qwen3-8B_Qwen_Qwen3-4B,10,0,0
