UID,p0,p1,recipe,p0_valid_actions,p1_valid_actions,p0_total_actions,p1_total_actions,free_ride_index,alternation_rate
2025-08-27_02-06-41,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,5,2,21,10,0.428571,0.500000
2025-08-27_02-32-42,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,6,5,15,14,0.090909,0.700000
2025-08-27_03-22-39,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,3,6,21,18,0.333333,0.500000
2025-08-27_04-13-49,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,1,2,8,9,0.333333,1.000000
2025-08-27_04-29-19,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,4,1,7,5,0.600000,0.250000
2025-08-27_04-41-11,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,2,4,16,25,0.333333,0.400000
2025-08-27_05-17-59,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,1,1,6,7,0.000000,1.000000
2025-08-27_05-26-40,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,8,3,11,14,0.454545,0.500000
2025-08-27_05-48-10,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,7,3,23,31,0.400000,0.555556
2025-08-27_06-31-55,Qwen3-14B,Qwen3-14B,sliced_eggplant_and_chickpea_stew,1,1,5,3,0.000000,1.000000
2025-08-26_15-45-57,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,5,6,15,21,0.090909,0.700000
2025-08-26_16-10-38,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,3,4,12,9,0.142857,0.666667
2025-08-26_16-57-44,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,0,0,0,0,0.000000,0.000000
2025-08-26_17-00-23,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,3,3,15,7,0.000000,0.800000
2025-08-26_17-30-18,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,9,2,20,9,0.636364,0.400000
2025-08-26_17-49-43,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,5,2,21,6,0.428571,0.500000
2025-08-26_18-37-50,Qwen3-14B,Qwen3-14B,sliced_pumpkin_and_chickpea_stew,1,1,1,3,0.000000,1.000000
