model_pair,recipe,runs_needed
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,1_boiled_mushroom,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,1_boiled_sweet_potato,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,3_baked_bell_pepper_soup,7
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,3_baked_carrot_soup,8
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,3_baked_mushroom_soup,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,3_baked_potato_soup,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,3_baked_pumpkin_soup,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,5_mashed_broccoli_and_bean_patty,7
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,5_mashed_carrot_and_chickpea_patty,7
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,5_mashed_cauliflower_and_lentil_patty,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,5_mashed_potato_and_pea_patty,10
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,5_mashed_sweet_potato_and_bean_patty,10
